"Feed name","Reference","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country"
"Cytisus pulvinatus","115602","90.50","","","","13.38","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115603","90.55","","","","13.63","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115604","90.47","","","","14.38","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115605","90.37","","","","13.00","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115406","92.62","","59.05","","24.19","89.88","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115407","92.74","","60.23","","22.56","89.60","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115408","92.93","","57.54","","19.81","88.48","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115409","93.33","","61.13","","22.06","89.41","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115410","93.03","","58.12","","24.69","89.38","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115411","93.53","","56.07","","21.06","89.68","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115412","92.38","","52.73","","24.19","89.41","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115413","92.92","","57.97","","22.38","89.70","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115414","92.30","","54.07","","24.25","89.64","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115415","92.70","","50.63","","24.13","88.53","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115416","92.52","","61.17","","23.81","89.42","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115417","92.40","","57.13","","22.06","89.15","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115418","92.45","","57.48","","20.13","89.49","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115419","92.37","","56.84","","21.13","89.67","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115420","92.41","","56.15","","20.06","89.04","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115421","92.72","","57.81","","23.31","88.37","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115422","92.73","","57.01","","20.00","89.32","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115423","92.64","","58.56","","19.44","89.83","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115424","92.69","","57.62","","24.69","88.31","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115425","92.31","","57.98","","23.06","89.78","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115426","92.63","","56.54","","23.75","89.52","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115427","92.41","","60.26","","17.75","89.99","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115428","92.78","","53.96","","20.06","89.66","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115429","92.50","","51.86","","24.56","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115430","92.50","","53.64","","19.50","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115431","92.38","","53.92","","20.25","88.25","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115432","92.12","","62.61","","13.88","84.39","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115433","92.66","","60.50","","12.38","83.17","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115434","91.74","","61.01","","13.56","84.85","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115435","92.18","","60.72","","13.44","84.51","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115436","91.78","","62.55","","12.38","83.00","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115437","91.78","","62.91","","13.19","83.99","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115438","91.67","","62.72","","13.25","84.47","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115439","92.24","","62.90","","12.19","84.86","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115440","92.07","","58.25","","14.50","81.88","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115441","92.07","","61.33","","12.06","84.43","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115442","91.95","","60.65","","12.56","82.81","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115443","92.16","","59.62","","15.19","84.30","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115444","91.97","","60.76","","12.69","81.99","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115445","91.66","","62.30","","12.69","84.48","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115446","91.75","","","","14.75","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115447","92.54","","","","13.13","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115448","90.62","","","","12.81","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115449","91.30","","","","14.25","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115450","91.01","","","","13.75","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115451","90.02","","","","15.38","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115452","91.78","","","","14.81","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115453","91.04","","","","14.69","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115454","92.60","","","","15.56","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115455","91.65","","","","16.25","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115456","91.78","","","","16.88","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115457","91.92","","","","12.94","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115458","92.43","","","","14.63","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115459","92.28","","","","14.19","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115460","92.18","","","","14.06","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115461","91.94","","","","15.44","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115462","91.32","","","","14.88","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115463","91.34","","","","13.75","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115464","91.37","","","","12.94","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115465","91.37","","","","12.88","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115466","91.35","","","","10.69","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115467","91.77","","","","11.13","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115468","91.38","","","","12.63","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115469","92.65","","","","12.50","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115470","91.91","","","","13.25","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115471","91.92","","","","13.44","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115472","91.57","","","","16.94","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115473","90.18","","","","16.38","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115474","91.00","","","","16.25","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115475","91.17","","","","13.44","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115476","91.80","","","","15.00","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115477","91.10","","","","16.31","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115478","91.20","","","","15.38","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115479","91.75","","","","16.19","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115480","91.36","","","","14.56","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115481","91.65","","","","15.25","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115482","94.13","","","","16.25","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115483","91.23","","","","16.69","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115484","90.77","","","","11.88","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115485","90.38","","","","11.25","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115486","90.43","","","","13.25","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115487","90.38","","","","17.56","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115488","90.94","","","","13.88","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115489","90.93","","","","13.81","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115490","90.76","","","","13.88","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115491","91.21","","","","14.25","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115492","91.32","","","","13.50","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115493","90.69","","","","12.69","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115494","90.35","","","","13.44","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115495","91.13","","","","12.56","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115496","91.10","","","","15.88","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115497","91.02","","","","17.38","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115498","91.03","","","","15.69","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115499","91.24","","","","15.81","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115500","90.77","","","","16.06","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115501","90.97","","","","17.00","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115502","91.50","","","","11.63","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115503","91.06","","","","11.50","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115504","91.36","","","","9.69","","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115505","91.55","","","","12.69","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100192","88.09","","49.99","","19.63","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100193","88.46","","44.22","","15.94","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100194","87.57","","43.44","","21.19","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100195","88.92","","43.34","","19.81","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100197","89.17","","31.22","","20.56","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100198","88.67","","37.31","","21.63","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100199","88.51","","45.14","","20.06","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100200","88.53","","45.84","","21.00","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100201","87.53","","49.13","","16.31","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100202","90.14","","46.13","","15.25","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100203","89.19","","47.12","","17.63","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100204","88.45","","40.24","","22.19","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100205","88.92","","33.59","","21.44","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100206","88.76","","37.92","","18.38","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100208","89.38","","36.13","","24.19","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","100209","88.92","","50.27","","18.50","","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","114085","93.02","18.67","27.66","6.50","22.75","95.14","1.30","8.40","","","9.90","","","","","75.50","11.67","7.74","5.10","7.41","Ethiopia"
"Tagasaste","114086","92.97","19.86","27.61","7.71","21.50","94.88","1.40","11.30","","","9.70","","","","","72.43","11.21","7.36","4.77","7.07","Ethiopia"
"Tagasaste","114087","92.19","22.74","35.09","7.65","18.69","95.72","1.20","7.60","","","11.80","","","","","73.22","11.42","7.53","4.94","7.24","Ethiopia"
"Tagasaste","114088","93.43","23.70","33.58","8.49","19.44","95.13","1.50","9.50","","","11.00","","","","","70.82","11.00","7.20","4.60","6.95","Ethiopia"
"Tagasaste","114089","93.72","21.08","31.48","7.48","21.38","94.84","1.30","11.10","","","10.80","","","","","73.66","11.38","7.49","4.90","7.20","Ethiopia"
"Tagasaste","114090","93.15","20.48","29.38","8.42","19.69","93.59","1.40","12.60","","","7.40","","","","","73.52","11.17","7.36","4.73","7.07","Ethiopia"
"Tagasaste","114091","89.78","17.51","27.79","5.90","23.94","94.55","1.50","9.80","","","10.20","","","","","76.13","11.67","7.78","5.10","7.41","Ethiopia"
"Tagasaste","114092","91.76","21.59","30.27","8.01","22.88","94.63","1.40","7.20","","","11.30","","","","","73.50","11.30","7.45","4.85","7.15","Ethiopia"
"Tagasaste","114093","93.58","19.19","34.48","6.68","17.81","95.19","1.40","9.50","","","9.10","","","","","75.01","11.59","7.70","5.06","7.36","Ethiopia"
"Tagasaste","114094","91.22","21.89","36.57","7.01","17.06","95.60","1.10","7.60","","","9.60","","","","","72.18","11.25","7.41","4.81","7.11","Ethiopia"
"Tagasaste","114095","93.03","17.82","31.43","6.79","18.88","96.20","1.20","5.10","","","11.80","","","","","76.19","11.92","7.95","5.27","7.57","Ethiopia"
"Tagasaste","114096","92.88","18.73","33.91","6.72","20.88","96.48","1.50","4.20","","","11.60","","","","","74.02","11.63","7.74","5.06","7.36","Ethiopia"
"Tagasaste","114097","93.31","19.00","31.37","6.30","17.25","96.08","1.40","6.40","","","9.50","","","","","75.60","11.80","7.87","5.23","7.49","Ethiopia"
"Tagasaste","114098","94.73","20.74","35.90","7.21","19.31","96.08","1.80","4.60","","","11.80","","","","","69.92","11.00","7.20","4.60","6.95","Ethiopia"
"Tagasaste","114099","92.95","18.22","30.27","6.58","16.44","94.63","1.30","11.20","710.00","","","","","","","71.04","10.96","7.15","4.60","6.90","Ethiopia"
"Tagasaste","114100","93.51","16.82","29.07","5.12","19.75","94.76","1.80","9.80","","","10.90","","","","","74.55","11.46","7.61","4.98","7.28","Ethiopia"
"Tagasaste","114103","92.57","19.96","32.92","6.09","18.56","95.88","1.90","4.30","","","15.40","","","","","74.01","11.55","7.66","5.02","7.32","Ethiopia"
"Tagasaste","114104","93.73","20.05","33.29","5.75","17.56","95.36","1.40","7.40","","","11.90","","","","","73.02","11.34","7.49","4.85","7.20","Ethiopia"
"Tagasaste","114105","94.38","22.12","31.91","8.05","18.19","96.00","1.40","5.90","","","8.50","","","","","70.73","11.09","7.28","4.69","6.99","Ethiopia"
"Tagasaste","114106","92.43","20.27","30.72","6.00","19.75","95.77","1.80","4.80","","","14.00","","","","","71.28","11.13","7.32","4.73","7.03","Ethiopia"
"Tagasaste","114107","93.29","21.88","34.77","7.56","19.00","95.80","1.50","5.50","","","11.40","","","","","70.55","11.05","7.24","4.64","6.95","Ethiopia"
"Tagasaste","114108","92.95","","34.32","","20.25","94.73","2.20","7.70","","","11.70","","","","","73.09","11.25","7.41","4.81","7.11","Ethiopia"
"Tagasaste","119479","90.68","25.37","35.61","6.78","17.06","92.77","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","119480","90.77","21.57","32.79","5.96","18.44","92.34","","","","","","","","","","","","","","","Ethiopia"
"Tagasaste","120536","92.00","21.70","38.77","7.62","20.81","94.14","2.90","7.80","56.09","390.76","15.00","3.80","27.61","148.70","99.13","","","","","","Ethiopia"
"Tagasaste","101941","92.27","24.35","44.87","7.21","20.94","94.69","","","","","34.40","","","","","","","","","","Ethiopia"
"Tagasaste","102181","90.79","23.08","34.32","6.72","20.19","88.81","","","","","21.80","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115314","93.10","27.50","50.37","8.63","25.19","95.18","2.00","4.10","","","14.90","","","","","60.01","9.46","5.82","3.39","5.86","Ethiopia"
"Cytisus pulvinatus","115315","93.09","29.69","47.96","12.98","22.75","95.04","1.90","4.10","","","16.80","","","","","69.39","10.79","6.99","4.44","6.78","Ethiopia"
"Cytisus pulvinatus","115316","92.73","32.76","48.94","15.53","22.44","94.80","1.90","3.90","","","14.90","","","","","62.97","9.83","6.15","3.68","6.11","Ethiopia"
"Cytisus pulvinatus","115317","92.98","33.05","50.01","14.93","22.75","94.46","1.80","5.30","","","16.50","","","","","61.63","9.58","5.94","3.51","5.94","Ethiopia"
"Cytisus pulvinatus","115318","93.38","27.64","43.00","13.94","21.06","94.46","1.70","6.10","","","15.60","","","","","66.13","10.25","6.53","4.02","6.40","Ethiopia"
"Cytisus pulvinatus","115319","92.63","30.52","50.84","13.69","3.94","94.98","1.90","2.80","","","19.90","","","","","60.83","9.54","5.90","3.47","5.90","Ethiopia"
"Cytisus pulvinatus","115320","93.15","29.31","48.93","12.49","22.94","94.73","2.20","4.20","","","19.00","","","","","68.57","10.63","6.86","4.31","6.65","Ethiopia"
"Cytisus pulvinatus","115321","92.99","29.14","49.89","11.47","20.25","94.70","2.00","3.80","","","22.00","","","","","63.22","9.83","6.19","3.72","6.15","Ethiopia"
"Cytisus pulvinatus","115322","92.74","27.22","48.09","12.32","19.81","95.41","1.60","5.70","","","13.40","","","","","59.49","9.41","5.77","3.35","5.82","Ethiopia"
"Cytisus pulvinatus","115323","92.71","34.59","52.97","14.77","22.00","95.31","2.20","2.90","","","19.20","","","","","63.66","10.00","6.32","3.81","6.23","Ethiopia"
"Cytisus pulvinatus","115324","92.62","33.00","52.70","16.12","24.44","95.15","2.40","3.20","","","18.60","","","","","60.48","9.50","5.86","3.43","5.90","Ethiopia"
"Cytisus pulvinatus","115325","92.85","30.31","45.22","13.83","19.81","92.92","1.90","7.80","","","16.30","","","","","62.94","9.62","5.98","3.51","5.94","Ethiopia"
"Cytisus pulvinatus","115326","92.92","34.86","52.82","17.19","24.81","95.05","2.40","3.10","","","20.10","","","","","53.47","8.49","4.94","2.59","5.19","Ethiopia"
"Cytisus pulvinatus","115327","92.52","32.32","52.32","14.43","21.50","94.92","1.90","4.40","","","18.30","","","","","60.18","9.46","5.82","3.39","5.86","Ethiopia"
"Cytisus pulvinatus","115328","93.23","27.44","43.92","12.65","21.94","94.15","1.80","6.20","","","18.30","","","","","64.96","10.04","6.36","3.85","6.28","Ethiopia"
"Cytisus pulvinatus","115329","93.15","31.94","50.35","15.60","20.75","95.75","1.70","4.60","","","13.40","","","","","56.31","8.95","5.40","3.01","5.52","Ethiopia"
"Cytisus pulvinatus","115404","92.86","","54.28","","19.19","89.39","","","","","","","","","","","","","","","Ethiopia"
"Cytisus pulvinatus","115405","92.86","","57.85","","19.19","89.20","","","","","","","","","","","","","","","Ethiopia"
"Calliandra calothyrsus","100058","88.82","33.99","43.67","14.31","21.44","93.89","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","100059","88.60","29.20","42.74","11.43","21.88","94.14","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","100063","88.72","28.14","39.82","11.24","21.75","93.60","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","100064","88.23","26.26","39.56","10.54","21.94","93.35","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","100065","88.40","24.17","38.87","8.47","21.81","93.11","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","100069","88.12","39.37","42.11","18.19","22.38","94.24","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","100070","87.93","37.63","42.30","16.59","22.50","94.20","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","100078","90.33","33.47","37.63","14.54","23.00","93.76","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","100079","90.16","30.15","38.55","13.35","22.88","94.05","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","100080","89.86","33.69","38.92","15.66","22.94","94.10","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","101940","90.39","35.20","50.46","17.09","22.25","88.97","","","","","","","","","","","","","","","Ethiopia"
"Calliandra calothyrsus","102200","90.75","","","","","92.48","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102201","91.64","","","","","92.34","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102202","90.97","","","","","93.05","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102203","90.53","","","","","94.89","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102204","90.85","","","","","94.66","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102205","91.22","","","","","94.72","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102206","90.72","","","","","93.15","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102207","90.41","","","","","94.84","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102208","90.56","","","","","94.03","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102209","90.68","","","","","94.48","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102210","90.68","","","","","94.71","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102211","90.88","","","","","93.32","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102212","90.06","","","","","90.70","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102213","90.91","","","","","94.02","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102214","90.78","","","","","93.92","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102215","90.33","","","","","94.92","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102216","89.87","","","","","94.47","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102217","90.40","","","","","94.23","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102218","90.17","","","","","94.96","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102219","89.66","","","","","94.38","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102220","89.92","","","","","94.99","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102221","90.24","","","","","94.62","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102222","90.64","","","","","94.83","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102223","90.08","","","","","94.73","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102250","89.66","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102251","89.99","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102252","90.25","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102895","89.58","","","","25.88","88.83","3.40","11.80","237.44","690.33","8.80","6.40","17.19","102.70","28.80","","","","","","Ethiopia"
"Calliandra calothyrsus","102919","","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102921","","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103120","89.77","","33.73","","29.44","94.43","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103134","92.90","","43.88","","23.94","91.71","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103367","90.42","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103368","91.13","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103373","90.27","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103374","90.48","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103375","89.33","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103376","89.50","","","","","100.00","","","","","","","","","","","","","","","Kenya"
